cust_id,cust name,policy number,DOA,DOB,sex,region,charges
309781,Rohan Jain,97314206891679 ,9/7/1999,17/07/1969,female,southeast,3766.8838
738234,Lakshmi Iyer,96901152199742 ,30/01/1968,8/1/1971,female,southwest,12105.32
851579,Srinivasan Kumar,93826518889894 ,21/12/1973,1/2/1955,male,southeast,10226.2842
792393,Amit Sharma,98559245098487 ,16/04/1988,20/12/1974,male,northeast,22412.6485
580297,Vikas Verma,98130173871858 ,8/3/1984,27/06/1961,male,southwest,15820.699
399541,Akanksha Singh,90204855700855 ,22/04/1957,5/7/1990,female,southwest,6186.127
380369,Shubham Kapoor,92032761975808 ,7/8/1981,24/05/1983,male,northeast,3645.0894
296963,Amit Sharma,90046278084237 ,6/12/2000,6/5/1985,female,northeast,21344.8467
995760,Lakshmi Sharma,90821150307931 ,5/6/1985,20/07/1997,female,southeast,30942.1918
222229,Tanya Joshi,92180587723697 ,13/06/1952,21/04/1983,female,southwest,5003.853
374684,Ayush Mehta,97212551494422 ,13/07/1953,18/01/1950,male,northwest,17560.37975
289030,Krishna Rao,91719956557703 ,25/10/1983,20/03/1984,female,southwest,2331.519
971338,Mohan Singh,95749527443859 ,2/8/1995,13/12/1995,male,northwest,3877.30425
641700,Gaurav Singh,95505737185023 ,5/6/1970,11/1/1958,male,southeast,2867.1196
730130,Varun Gupta,94507112819071 ,10/8/1974,23/01/1971,male,southeast,47055.5321
198882,Gaurav Singh,90577396495296 ,25/09/1963,20/01/1951,male,northwest,10825.2537
778777,Aditi Gupta,96349367767783 ,17/11/1960,7/6/1987,female,southwest,11881.358
325450,Aditi Gupta,93345915618629 ,9/5/1972,13/09/1966,male,southwest,4646.759
666238,Manish Patel,95870377026023 ,18/01/1981,10/12/1989,female,northwest,2404.7338
907757,Sameer Singh,91046504056492 ,19/05/1978,28/01/1958,male,northeast,11488.31695
553767,Lakshmi Iyer,93879352418105 ,11/5/1979,2/11/1962,male,northeast,30259.99556
542958,Sakshi Patel,99549776794227 ,19/09/1990,25/06/1966,male,southeast,11381.3254
903731,Lakshmi Sharma,91992556650847 ,28/11/2000,26/04/1952,female,southeast,19107.7796
131806,Sneha Iyer,95732349008466 ,6/7/1979,2/12/1954,female,southeast,8601.3293
969846,Aditi Gupta,90169989985854 ,30/05/1983,30/01/1982,female,northwest,6686.4313
587818,Ankit Chauhan,94721385908370 ,22/09/1950,27/06/1984,male,southwest,7740.337
425875,Santosh Sharma,94649346484948 ,12/9/1996,25/11/1954,male,northeast,1705.6245
208890,Pranav Singh,96295106131907 ,14/06/1982,17/11/1953,female,northwest,2257.47525
664888,Pranav Singh,95157831537817 ,21/08/1962,6/9/1957,male,northeast,39556.4945
878784,Maya Singh,90319785066344 ,2/12/1964,10/11/1976,female,northwest,10115.00885
602133,Arjun Desai,94802690413538 ,17/11/1985,20/12/1979,female,northeast,3385.39915
392506,Rohan Jain,97485873330082 ,20/10/1990,6/8/1955,female,southwest,17081.08
376523,Himanshu Verma,99446970540522 ,26/09/1972,17/03/1960,female,southwest,9634.538
960685,Ananya Patel,92034942138060 ,11/3/1956,6/2/1998,female,northwest,32734.1863
621045,Ajay Kumar,96255068394746 ,22/07/1971,7/1/1965,male,southwest,6082.405
601894,Anushka Singh,90047129854184 ,20/04/1988,30/01/1956,female,northeast,12815.44495
625328,Yash Singh,95964213610006 ,16/11/1968,15/08/1982,female,northeast,13616.3586
371185,Harshita Verma,96114116437481 ,25/05/1964,12/11/1984,female,southwest,11163.568
424685,Himanshu Verma,96778893761449 ,10/10/1975,5/2/1952,male,northwest,1632.56445
326815,Aditi Jain,98725010839351 ,14/02/1990,25/12/1967,female,northeast,2457.21115
315128,Sunil Chauhan,93800332844994 ,13/05/1951,6/10/1953,female,southeast,2155.6815
299286,Sandeep Verma,94943886622337 ,27/08/1973,4/4/1987,male,southwest,1261.442
949178,Srinivasan Kumar,97407073843571 ,18/02/1991,2/8/1996,male,northwest,2045.68525
219234,Maya Singh,97127782583510 ,9/6/1960,29/11/1969,female,southeast,27322.73386
316967,Kirti Singh,92527523735938 ,4/10/1978,29/01/1995,female,southwest,2166.732
152704,Krishna Chauhan,94804664742096 ,18/06/1972,28/07/1998,male,northeast,27375.90478
527588,Ayush Mehta,94592416932683 ,5/10/1988,26/06/1987,male,northeast,3490.5491
774920,Sunil Chauhan,95478613353377 ,1/1/1978,31/01/1999,male,southeast,18972.495
652104,Srinivasan Kumar,93006119546206 ,27/11/1986,30/09/1995,male,northwest,18157.876
969170,Amit Kumar,97996628981472 ,24/08/1965,1/6/1980,male,northwest,20745.9891
873175,Aditi Jain,94461458147760 ,14/12/1977,3/9/1969,female,southeast,5138.2567
111992,Kirti Singh,95186129184046 ,12/1/1958,6/2/1957,male,northwest,40720.55105
504007,Shreya Jain,97995007511655 ,8/1/1991,4/1/1991,female,southeast,9877.6077
391737,Tanvi Desai,96571301735405 ,12/3/1992,8/12/1988,female,northwest,10959.6947
290777,Jaya Patel,98141137848489 ,23/02/1970,21/11/1989,male,southwest,1842.519
590121,Jaya Patel,95508498235642 ,29/08/1974,19/09/1993,male,northwest,5125.2157
205746,Maya Patel,91808914005294 ,7/7/1962,21/06/1966,male,southeast,7789.635
526559,Vidya Reddy,94269352584963 ,25/01/1969,1/8/1950,female,northeast,6334.34355
959243,Himanshu Verma,92934732755209 ,5/3/1983,16/12/1970,female,northeast,19964.7463
621021,Shalini Patel,92932590883081 ,6/3/1963,30/07/1998,female,northeast,7077.1894
771691,Rahul Sharma,95118996425642 ,6/3/1972,10/1/1991,male,northwest,6948.7008
970029,Arjun Desai,99349291177191 ,28/04/1955,28/10/1998,male,southeast,21223.6758
100389,Kirti Singh,94251492982408 ,7/6/1976,15/09/2000,male,northeast,15518.18025
303145,Srinivasan Kumar,98821705803477 ,14/08/1967,9/10/1964,male,southeast,36950.2567
468410,Jaya Sharma,90915131300336 ,27/08/1992,14/11/1960,female,southeast,19749.38338
562385,Karan Kumar,94338613037277 ,8/6/1955,6/11/1965,female,northwest,21348.706
196999,Varun Gupta,97211804146909 ,26/04/1992,22/03/1987,female,southeast,36149.4835
918280,Pooja Agarwal,97216527775711 ,29/09/1978,5/8/2000,male,southwest,10450.552
424240,Ajay Sharma,90461270512540 ,9/12/1959,13/05/1974,female,southwest,5152.134
212583,Shashank Singh,97535273680517 ,25/06/1953,25/09/1981,male,northwest,5028.1466
134580,Gaurav Singh,92950854131875 ,3/9/1952,13/04/1987,male,northeast,10407.08585
529101,Arjun Desai,94341232737556 ,4/7/1962,4/1/1987,female,southwest,4830.63
705200,Srinivasan Kumar,96362540419870 ,23/10/1975,2/3/1958,female,northwest,6128.79745
618598,Vinayak Das,90109144338818 ,2/3/1968,31/05/1961,female,northwest,2719.27975
951061,Pooja Agarwal,90913987777273 ,10/4/1981,10/2/1974,male,northeast,4827.90495
198972,Shikha Gupta,98003030454134 ,30/11/1983,25/01/1989,male,southeast,13405.3903
792199,Nisha Reddy,97271829137803 ,23/09/1981,19/06/1985,male,southwest,8116.68
657130,Maya Patel,90087752558739 ,9/12/1999,18/11/1950,male,northeast,1694.7964
665643,Aruna Reddy,92060504471694 ,15/06/1951,17/01/1988,female,southwest,5246.047
807379,Uday Sharma,94979626523047 ,22/12/1956,13/01/1953,female,northwest,2855.43755
325084,Disha Trivedi,95368614229844 ,19/05/1969,18/10/1983,female,southwest,48824.45
313847,Himanshu Verma,90500333937178 ,29/05/1988,27/04/1990,male,northwest,6455.86265
884978,Neelam Yadav,98876582653045 ,18/07/1991,18/10/1995,male,southwest,10436.096
257997,Sangita Das,93502862774231 ,27/07/1967,16/11/1976,female,southwest,8823.279
677068,Sandeep Verma,93793051152640 ,9/4/1961,12/9/1956,female,northeast,8538.28845
818576,Sandeep Verma,98383998651901 ,19/10/1956,13/05/1976,male,northwest,11735.87905
541747,Akanksha Singh,99965714242179 ,8/8/1974,6/10/1979,female,southeast,1631.8212
138596,Himanshu Verma,93981980365417 ,30/05/1989,2/5/1973,male,northeast,4005.4225
151177,Disha Trivedi,99042632912440 ,28/12/1973,19/12/1996,female,northwest,7419.4779
595930,Sangita Das,90632701409861 ,15/09/1960,12/11/1966,male,southeast,7731.4271
925546,Srinivasan Kumar,92148424417087 ,27/05/1975,22/09/1951,male,northeast,43753.33705
901319,Amit Sharma,95601504833423 ,6/1/1995,24/02/1954,female,southeast,3981.9768
480420,Arjun Sharma,93450180380361 ,23/10/1983,25/10/2000,female,southwest,5325.651
540678,Himanshu Verma,99739595285134 ,24/04/1999,16/05/1983,female,southwest,6775.961
961333,Disha Trivedi,97064719716911 ,12/8/1977,20/02/1981,female,northwest,4922.9159
251974,Gaurav Singh,90552751677383 ,12/12/1961,29/12/1961,male,southeast,12557.6053
191905,Pooja Agarwal,93455289961163 ,29/10/1967,13/09/1975,female,southwest,4883.866
315007,Yash Singh,90387526517778 ,19/04/2000,9/1/1950,male,southeast,2137.6536
705234,Disha Trivedi,90397283244304 ,24/02/1985,21/07/1967,female,northwest,12044.342
791641,Srinivasan Kumar,97790723271905 ,28/01/1954,17/07/1979,male,southeast,1137.4697
598607,Maya Singh,94961655798000 ,14/05/1989,14/08/1998,male,northwest,1639.5631
513871,Ishaan Kapoor,93602877426338 ,18/03/1984,20/09/1951,female,southwest,5649.715
678689,Maya Patel,90727862586690 ,11/8/1950,4/7/1978,female,southeast,8516.829
769207,Ayush Mehta,94982771594379 ,22/09/1956,27/09/1997,female,northwest,9644.2525
684385,Lakshmi Iyer,98338840857466 ,23/07/1965,2/12/1990,female,northeast,14901.5167
110096,Ananya Chauhan,90406767172292 ,25/06/1980,17/10/1969,female,northwest,2130.6759
618824,Sangita Das,92036844926278 ,5/4/1982,12/1/1990,female,southeast,8871.1517
288722,Tanvi Desai,95181119777217 ,13/12/1974,16/09/1971,female,northwest,13012.20865
918966,Shalini Patel,95892085878369 ,18/10/1960,7/2/1982,female,southeast,37133.8982
663849,Priya Chauhan,95159489370417 ,1/3/1959,4/7/1960,male,southwest,7147.105
843601,Riya Desai,91381140755813 ,20/04/1971,2/12/1960,female,northeast,4337.7352
976918,Gaurav Joshi,96781641854925 ,30/01/1978,6/11/1992,male,southeast,11743.299
436878,Arjun Desai,93950003882613 ,11/11/1951,14/08/1964,male,northeast,20984.0936
618185,Ankit Jain,94701910293026 ,5/7/1975,14/03/1977,female,southwest,13880.949
287386,Harshita Singh,96266047838002 ,19/10/1978,29/09/1973,male,northeast,6610.1097
956824,Anushka Singh,94561934596702 ,27/06/2000,2/9/1952,male,southwest,1980.07
833425,Jaya Sharma,96577891668109 ,2/7/1967,16/07/1958,male,northwest,8162.71625
255089,Krishna Rao,91417519358976 ,1/6/1954,30/06/1967,male,northwest,3537.703
509055,Swati Singh,93334785089981 ,23/09/1964,24/09/1979,female,southeast,5002.7827
138220,Yash Singh,91397065805825 ,16/05/1998,16/08/1975,female,southwest,8520.026
276914,Sunil Chauhan,92750610377749 ,5/4/1990,15/10/1972,female,southwest,7371.772
632880,Kirti Mishra,97199860146701 ,22/03/1991,21/11/1952,female,northwest,10355.641
365039,Sneha Iyer,98093238215113 ,13/05/1981,17/03/1977,male,southeast,2483.736
967126,Ayush Mehta,92116565246963 ,18/02/1990,12/12/1982,female,southeast,3392.9768
521880,Neha Sharma,90507925177181 ,5/3/1996,23/03/1966,female,southeast,25081.76784
506129,Shreya Jain,90392736172761 ,31/05/1997,19/05/1971,female,southwest,5012.471
428757,Vinayak Das,99634187147828 ,21/01/1987,23/01/1950,female,northeast,10564.8845
373181,Ishaan Kapoor,96075586860472 ,27/01/1952,20/12/1961,male,southwest,5253.524
820548,Srinivasan Kumar,90040552117144 ,30/10/1997,13/02/1987,male,southwest,34779.615
261176,Shreya Jain,93886954850337 ,31/08/1989,4/5/1994,male,southeast,19515.5416
542483,Pradeep Verma,98402482207449 ,28/12/1982,15/05/1980,male,southeast,11987.1682
940267,Shikha Gupta,90869287776767 ,12/12/1963,12/1/2000,male,southeast,2689.4954
557492,Aditi Gupta,99441661782226 ,31/08/1997,22/05/1950,female,southeast,24227.33724
188508,Neha Sharma,93359795616275 ,26/02/1983,19/09/1998,female,northeast,7358.17565
614129,Sangita Das,97402109681442 ,27/07/1961,16/10/1963,male,northeast,9225.2564
938904,Srinivasan Kumar,92403095922716 ,11/3/1974,13/12/1972,female,northwest,7443.64305
305043,Mohan Kumar,95526773888314 ,29/08/1966,16/11/1984,female,southeast,14001.2867
959071,Rohan Jain,94411540070784 ,29/06/1950,18/01/1972,female,southwest,1727.785
402659,Karan Gupta,97143159667892 ,16/02/1979,11/9/1958,male,southwest,12333.828
587946,Vishal Kapoor,98211183797577 ,17/06/1985,7/9/1950,male,northwest,6710.1919
814055,Sakshi Patel,98016993333330 ,28/10/1972,1/1/1998,female,southeast,19444.2658
469125,Lakshmi Sharma,90307913483485 ,31/08/1994,26/12/1996,female,southeast,1615.7667
605116,Amit Kumar,96183811917693 ,15/10/1995,25/05/1951,male,southeast,4463.2051
459456,Sakshi Patel,93361178357476 ,2/9/1975,27/02/1973,male,northwest,17352.6803
520557,Roshni Mehta,90945154205394 ,1/5/1975,23/01/1982,male,southeast,7152.6714
250280,Harshita Verma,98129156622206 ,19/11/1996,31/07/1966,female,northeast,38511.6283
247412,Maya Singh,97607555748358 ,1/8/1995,10/10/1986,female,northeast,5354.07465
221271,Ayush Mehta,92104716404306 ,9/9/1963,23/06/1962,female,southwest,35160.13457
689141,Arjun Sharma,92181448254382 ,7/12/1966,27/01/1973,male,southwest,7196.867
150871,Lakshmi Iyer,99750957268736 ,13/06/1979,7/1/1990,female,northeast,29523.1656
361810,Karan Kumar,92258922598823 ,12/5/1986,5/6/1997,male,northwest,24476.47851
589638,Akanksha Patel,91860553607219 ,5/5/1969,13/10/1957,female,southeast,12648.7034
109008,Himanshu Patel,98325681314156 ,22/03/1978,7/5/1978,male,southeast,1986.9334
356712,Neelam Yadav,96585633271330 ,14/12/1973,8/10/1963,male,southwest,1832.094
509859,Ayush Mehta,91250322628187 ,26/12/1971,18/04/1996,male,northeast,4040.55825
970809,Ajay Sharma,92351124850182 ,16/04/1957,21/10/1963,male,northeast,12829.4551
241539,Rajesh Gupta,90785111422612 ,21/03/1976,29/06/1958,female,southwest,47305.305
308052,Sangita Das,90484380802512 ,10/11/1997,19/09/1960,male,southeast,44260.7499
680044,Neha Verma,98377503620412 ,14/01/1960,12/12/1951,male,southwest,4260.744
481754,Sakshi Patel,97950404434869 ,8/6/1965,4/12/1966,male,northeast,41097.16175
936369,Srinivasan Kumar,91370979577457 ,30/04/1952,24/12/1965,female,northeast,13047.33235
636927,Karan Gupta,97992163246238 ,14/01/1998,16/06/2000,male,northwest,43921.1837
106289,Tanvi Desai,95529879836492 ,14/08/1989,11/8/1952,female,southeast,5400.9805
466211,Aruna Reddy,92717046662025 ,9/5/1982,16/04/1963,male,northwest,11520.09985
235599,Riya Desai,97437216754557 ,1/8/1987,14/10/1984,male,northwest,33750.2918
535831,Ishaan Kapoor,93000488845489 ,29/07/1953,10/1/1964,female,southwest,11837.16
215187,Vishal Kapoor,92356354143953 ,5/8/1972,28/12/1994,female,southeast,17085.2676
357170,Sarika Reddy,95912153495433 ,29/08/1984,8/1/1970,male,northeast,24869.8368
313200,Ananya Patel,93111393365242 ,30/10/1975,1/7/1982,male,northwest,36219.40545
659726,Riya Desai,97933329872686 ,23/05/1952,29/03/1956,female,southeast,20462.99766
634694,Rohan Jain,92764645805418 ,7/3/1994,16/04/1981,male,southeast,46151.1245
418035,Vikas Verma,98865814634280 ,6/8/1990,7/12/1956,male,southeast,17179.522
759819,Rohan Jain,91424071629500 ,9/2/1987,3/9/1971,female,northeast,14590.63205
246359,Shreya Jain,94580190979495 ,12/5/1966,22/03/1965,male,southwest,7441.053
704697,Disha Trivedi,92567248171707 ,1/12/1976,7/8/1973,male,northeast,9282.4806
551479,Swati Singh,97023268293172 ,16/10/1983,18/11/1979,male,southeast,1719.4363
115819,Lakshmi Iyer,94649484820432 ,24/02/1958,3/1/1965,male,southwest,42856.838
537869,Mohan Singh,95643287858750 ,15/07/1970,18/08/1994,male,northwest,7265.7025
294716,Amit Kumar,92493460019108 ,22/11/1967,25/12/1995,male,northeast,9617.66245
643750,Ananya Chauhan,92380256785128 ,16/08/1988,15/08/1962,male,northwest,2523.1695
875692,Neelam Yadav,91847543243193 ,31/05/1997,8/2/1955,female,northeast,9715.841
234952,Deepika Das,98555048977968 ,1/10/1951,19/11/1959,male,northwest,2803.69785
663619,Srinivasan Kumar,96158632234536 ,25/01/1985,22/05/1963,female,southwest,2150.469
859215,Lakshmi Sharma,98902443175083 ,22/08/1965,23/07/1969,male,southeast,12928.7911
901741,Ananya Patel,91517921919369 ,13/12/1965,28/02/1955,female,southeast,9855.1314
319929,Vikas Verma,91746219572441 ,28/07/1954,5/9/1988,female,northeast,22331.5668
450513,Arjun Desai,93831298492309 ,8/12/1953,6/10/1985,male,northeast,48549.17835
976937,Shreya Jain,95794426891331 ,22/10/1951,25/01/1998,male,northeast,4237.12655
703294,Vikas Verma,92290779744202 ,14/05/1978,29/08/1974,female,northeast,11879.10405
372414,Ishaan Kapoor,95847769670711 ,9/7/1955,25/12/1965,female,southwest,9625.92
813048,Tanvi Desai,99847787517246 ,27/01/1972,2/7/1998,male,southeast,7742.1098
857288,Pradeep Verma,95207379212649 ,25/08/1988,6/11/1969,female,northeast,9432.9253
681514,Yash Singh,91631983621963 ,3/3/1970,7/6/1963,female,northwest,14256.1928
855343,Gaurav Singh,90832940848875 ,21/02/1959,30/06/1970,female,northeast,47896.79135
335285,Sneha Iyer,97397331582892 ,9/10/1976,13/04/1995,male,southeast,25992.82104
769321,Amit Kumar,92627118313079 ,28/08/1968,22/07/1958,female,southwest,3172.018
195298,Rohan Jain,91451389286992 ,13/09/1986,1/8/1979,male,northeast,20277.80751
647894,Shashank Singh,95001960505277 ,13/01/1950,1/11/1959,male,southeast,42112.2356
683934,Ananya Chauhan,96679845090481 ,15/08/1965,3/1/1992,female,southeast,2156.7518
236564,Ishaan Sharma,92313023138200 ,21/05/1973,29/01/1966,male,southwest,3906.127
976361,Anushka Singh,90748413951246 ,14/04/1980,11/4/1956,male,northeast,1704.5681
177200,Gaurav Joshi,94600002262710 ,16/05/1992,1/2/1950,male,southwest,16297.846
600543,Sunil Chauhan,98217061718385 ,20/12/1970,24/07/1968,male,southeast,21978.6769
601101,Pooja Agarwal,97625928085161 ,1/11/1973,30/11/1983,male,northwest,38746.3551
595840,Shashank Singh,92325003519295 ,10/1/1960,28/01/1959,female,northwest,9249.4952
545611,Ankit Jain,96337509095942 ,25/05/1977,29/08/1952,male,northeast,6746.7425
878397,Lakshmi Iyer,93016018423094 ,15/11/1995,26/12/1987,female,northeast,24873.3849
753631,Priya Chauhan,93708935526247 ,6/7/1967,25/04/1956,female,southeast,12265.5069
187483,Krishna Chauhan,98717239762013 ,1/12/1989,18/09/1971,female,southeast,4349.462
546614,Manish Patel,96490797301471 ,8/7/1964,19/09/1981,female,southwest,12646.207
